timestamp,pm25,pm10,no2,so2,co,o3,temp_c,rh_pct,wind_kmh,city,station,pm25_unit,pm10_unit,hour,weekday,month,month_name,date,is_weekend
2023-01-01 00:00:00,158.5,252.0,31.4,13.4,0.76,6.6,7.3,82.0,4.5,Delhi,Anand Vihar,ug/m3,ug/m3,0,Sunday,1,January,2023-01-01,True
2023-01-01 01:00:00,145.2,242.8,33.1,12.9,1.1,6.1,5.5,83.0,6.2,Delhi,Anand Vihar,ug/m3,ug/m3,1,Sunday,1,January,2023-01-01,True
2023-01-01 02:00:00,205.8,334.6,38.8,12.2,1.33,6.1,5.0,89.0,5.1,Delhi,Anand Vihar,ug/m3,ug/m3,2,Sunday,1,January,2023-01-01,True
2023-01-01 03:00:00,163.5,199.4,27.3,12.65,1.65,12.2,4.5,83.0,3.6,Delhi,Anand Vihar,ug/m3,ug/m3,3,Sunday,1,January,2023-01-01,True
2023-01-01 04:00:00,161.6,250.3,58.3,13.1,1.29,4.5,5.0,92.0,3.1,Delhi,Anand Vihar,ug/m3,ug/m3,4,Sunday,1,January,2023-01-01,True
2023-01-01 05:00:00,174.4,291.1,38.8,8.1,1.43,5.2,4.3,87.0,4.5,Delhi,Anand Vihar,ug/m3,ug/m3,5,Sunday,1,January,2023-01-01,True
2023-01-01 06:00:00,220.2,415.1,52.2,10.6,1.36,9.8,7.9,93.0,1.8,Delhi,Anand Vihar,ug/m3,ug/m3,6,Sunday,1,January,2023-01-01,True
2023-01-01 07:00:00,226.1,428.3,41.8,14.2,2.43,10.6,7.6,84.0,3.9,Delhi,Anand Vihar,ug/m3,ug/m3,7,Sunday,1,January,2023-01-01,True
2023-01-01 08:00:00,229.8,320.9,46.849999999999994,16.9,2.58,7.5,6.2,80.0,4.2,Delhi,Anand Vihar,ug/m3,ug/m3,8,Sunday,1,January,2023-01-01,True
2023-01-01 09:00:00,217.4,335.9,51.9,22.6,1.61,7.5,8.1,84.0,7.6,Delhi,Anand Vihar,ug/m3,ug/m3,9,Sunday,1,January,2023-01-01,True
2023-01-01 10:00:00,262.0,358.4,55.5,11.3,1.23,20.3,12.8,72.0,6.7,Delhi,Anand Vihar,ug/m3,ug/m3,10,Sunday,1,January,2023-01-01,True
2023-01-01 11:00:00,141.1,262.7,37.9,10.1,0.97,14.3,12.6,66.0,10.0,Delhi,Anand Vihar,ug/m3,ug/m3,11,Sunday,1,January,2023-01-01,True
2023-01-01 12:00:00,117.9,208.8,43.5,14.3,1.34,20.05,13.6,59.0,0.8,Delhi,Anand Vihar,ug/m3,ug/m3,12,Sunday,1,January,2023-01-01,True
